t,ax,ay,az,magnitud,etiqueta,registro
4.05634725,-1.5395292256870907,-1.0820257730417608,0.05082128109282815,1.8824220602413342,caminata,caminata/caminata_001
4.06630725,-1.7248603027540728,-0.9425153228621926,0.15785291614105917,1.9719015545866205,caminata,caminata/caminata_001
4.07626625,-1.8807641523529575,-0.8231920692377572,0.26224312799145794,2.0697078145986265,caminata,caminata/caminata_001
4.08622625,-2.00115564961061,-0.7310539651452734,0.3604180296229232,2.160778792472834,caminata,caminata/caminata_001
4.09618525,-2.0808712956571815,-0.6702400662012474,0.4491164937723773,2.2318048123457936,caminata,caminata/caminata_001
4.10614525,-2.1159479359548783,-0.6417437170570899,0.5256653646850346,2.2727504794155053,caminata,caminata/caminata_001
4.11610425,-2.1039474424392255,-0.6433581267492887,0.5882100072991064,2.2773878748442757,caminata,caminata/caminata_001
4.12606425,-2.0442811288214764,-0.6698565487013652,0.6358811086086756,2.2432427228855802,caminata,caminata/caminata_001
4.13602325,-1.9384819143697911,-0.7133998158846272,0.6688847526489716,2.1711882097066724,caminata,caminata/caminata_001
4.14598325,-1.79037880290628,-0.7641521414914261,0.6885093131539302,2.0648074553192006,caminata,caminata/caminata_001
4.15594225,-1.6061426573806066,-0.8110710847456287,0.6970480733902463,1.9296130588760902,caminata,caminata/caminata_001
4.16590225,-1.3941882131692762,-0.8428202625646183,0.697640055771471,1.7722326077991153,caminata,caminata/caminata_001
4.17586225,-1.1649295901964694,-0.8487361541917796,0.6940337872207923,1.5997177586535702,caminata,caminata/caminata_001
4.18582125,-0.9303932225834339,-0.8197666345790988,0.6902808482651258,1.4192027808879006,caminata,caminata/caminata_001
4.19578125,-0.703694582336961,-0.7492925713665668,0.6903694312096341,1.238238819559549,caminata,caminata/caminata_001
4.20574025,-0.4983869568524952,-0.6337484434206748,0.6978137947655533,1.0662883008192112,caminata,caminata/caminata_001
4.21570025,-0.32769569566935075,-0.4729754373151082,0.7152237668547551,0.9179516708070979,caminata,caminata/caminata_001
4.22565925,-0.20366215094152165,-0.2702700210525407,0.7438886498803573,0.8172481137492388,caminata,caminata/caminata_001
4.23561925,-0.1362380138938098,-0.03212835220250672,0.7834201634111551,0.7958267272994412,caminata,caminata/caminata_001
4.24557825,-0.13239052379166205,0.23227499454839515,0.83150641288337,0.873431072580119,caminata,caminata/caminata_001
4.25553825,-0.19529781308611877,0.5118045308845834,0.8838297407435874,1.0398269684197876,caminata,caminata/caminata_001
4.26549725,-0.3237259779482898,0.7941905267949688,0.9341926109117459,1.268169127495048,caminata,caminata/caminata_001
4.27545725,-0.5116798999731555,1.0668758824208535,0.9748758988072963,1.5331090915532226,caminata,caminata/caminata_001
4.28541625,-0.7484047948006831,1.3178061811304742,0.9972242091229913,1.814160685046204,caminata,caminata/caminata_001
4.29537625,-1.0187847910657666,1.5361071121446865,0.9924174315884369,2.0934277797452188,caminata,caminata/caminata_001
4.30533625,-1.304142537649447,1.7126186893554913,0.9523537435363524,2.353896383969389,caminata,caminata/caminata_001
4.31529525,-1.5833971861912264,1.8402805651182965,0.8705446724589769,2.5790748795521847,caminata,caminata/caminata_001
4.32525525,-1.834495476700538,1.9143840103237113,0.7429139263719324,2.7535723878291614,caminata,caminata/caminata_001
4.33521425,-2.035999050112614,1.9327211851773396,0.5684008389863945,2.8642246464712233,caminata,caminata/caminata_001
